name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
79,eGon2035,21,70054,BEV_charger,2221.828709602356,False,inf,0.0,0.0,,0.9000000000000001,0.0,0.0,0.0,2221.828709602356,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
80,eGon2035,21,77083,power_to_H2,0.0,True,28.0,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,0.07949270394145766,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
81,eGon2035,21,77101,central_heat_pump,18.976913981401516,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,18.976913981401516,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
82,eGon2035,21,77101,central_resistive_heater,19.48894642321179,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,19.48894642321179,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
83,eGon2035,22,41288,dsm,291.4228785022006,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,291.4228785022006,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
84,eGon2035,22,52067,rural_heat_pump,2080.102367508362,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2080.102367508362,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
85,eGon2035,22,70058,BEV_charger,4007.102572798729,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,4007.102572798729,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
86,eGon2035,22,77083,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,0.08509989107347168,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
87,eGon2035,22,77087,central_heat_pump,61.935789406409775,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,61.935789406409775,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
88,eGon2035,22,77087,central_resistive_heater,55.693079729877056,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,55.693079729877056,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
89,eGon2035,23,41278,dsm,131.31661764154006,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,131.31661764154006,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
90,eGon2035,23,48700,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,2203.722713579967,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
91,eGon2035,23,52047,rural_heat_pump,925.3254122328945,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,925.3254122328945,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
92,eGon2035,23,69929,BEV_charger,1467.7617861032486,False,inf,0.0,0.0,,0.8999999999999999,0.0,0.0,0.0,1467.7617861032486,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
93,eGon2035,23,77083,power_to_H2,0.0,True,6.0,461.22415334238485,0.0,,0.6999999999999998,0.0,0.0,0.0,0.06542219297693336,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
94,eGon2035,23,77097,central_heat_pump,4.852415439094925,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,4.852415439094925,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
95,eGon2035,23,77097,central_resistive_heater,6.085387946084712,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,6.085387946084712,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
96,eGon2035,24,42708,dsm,219.85639214812784,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,219.85639214812784,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
97,eGon2035,24,48718,power_to_H2,0.0,True,inf,461.2241533423848,0.0,,0.7,0.0,0.0,0.0,0.3670845187077721,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
98,eGon2035,24,50209,central_heat_pump,0.08427589382795124,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.08427589382795124,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
99,eGon2035,24,50209,central_resistive_heater,0.15727110250091458,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.15727110250091458,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
100,eGon2035,24,50808,central_heat_pump,1.8975518238118319,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.8975518238118319,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
101,eGon2035,24,50808,central_resistive_heater,2.463291057591914,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.463291057591914,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
102,eGon2035,24,52074,rural_heat_pump,2012.1362968345604,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2012.1362968345604,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
103,eGon2035,24,70292,BEV_charger,3381.4622190594673,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,3381.4622190594673,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
104,eGon2035,24,77083,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.7,0.0,0.0,0.0,0.10640676130492809,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
105,eGon2035,24,77093,central_heat_pump,40.91585369788568,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,40.91585369788568,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
